,content,norm,tokens,final
0,good start. but i have to request refund of my 1 year subscription because 1) ugly work with vocabulary. why do you set a word as learned just because ai used it in its speech? 2) poor correction of mistakes. i can practice speaking to alexa or google for free. the same result. it corrects mistakes when revising rules only. this is not valuable. it does not make sense to pay 1 year if it's enough to pay a month and get everything possible from the app within a month! at least for non-beginners,good start . but I have to request refund of my 1 year subscription because 1 ) ugly work with vocabulary . why do you set a word as learn just because ai use it in its speech ? 2 ) poor correction of mistake . I can practice speak to alexa or google for free . the same result . it correct mistake when revise rule only . this be not valuable . it do not make sense to pay 1 year if it be enough to pay a month and get everything possible from the app within a month ! at least for non - beginner,"['good', 'start', 'request', 'refund', '1', 'year', 'subscription', '1', 'ugly', 'work', 'vocabulary', 'set', 'word', 'learn', 'ai', 'use', 'speech', '2', 'poor', 'correction', 'mistake', 'practice', 'speak', 'alexa', 'google', 'free', 'result', 'correct', 'mistake', 'revise', 'rule', 'valuable', 'sense', 'pay', '1', 'year', 'pay', 'month', 'possible', 'app', 'month', 'non', 'beginner']",good start request refund 1 year subscription 1 ugly work vocabulary set word learn ai use speech 2 poor correction mistake practice speak alexa google free result correct mistake revise rule valuable sense pay 1 year pay month possible app month non beginner
1,"i am absolutely dissatisfied with this app. it misheards what i say, and i have no problems with pronunciation, it is the program that has a hearing problem. i say one thing, it writes something completely different. and also, it does not pronounce half of the text, stutters all the time and skips half of the text. in general, the app is still very raw. money wasted!","I be absolutely dissatisfied with this app . it misheard what I say , and I have no problem with pronunciation , it be the program that have a hearing problem . I say one thing , it write something completely different . and also , it do not pronounce half of the text , stutter all the time and skip half of the text . in general , the app be still very raw . money waste !","['absolutely', 'dissatisfied', 'app', 'misheard', 'problem', 'pronunciation', 'program', 'hearing', 'problem', 'thing', 'write', 'completely', 'different', 'pronounce', 'half', 'text', 'stutter', 'time', 'skip', 'half', 'text', 'general', 'app', 'raw', 'money', 'waste']",absolutely dissatisfied app misheard problem pronunciation program hearing problem thing write completely different pronounce half text stutter time skip half text general app raw money waste
2,"good idea but ux seems a bit outdated already. you need to press the button and record audio, then wait for a transcript, then wait for an answer (it's too slow). i wish to have 1.25x speed of the answer as well. they also offered me a present simple lesson on an advanced level (and this is confusing). 50% of the conversations are questions when i need to say yes - i wish to have a button for fast yes reply instead of recording my audio yes every time (it's 5-7 sec for unnecessary action)","good idea but ux seem a bit outdated already . you need to press the button and record audio , then wait for a transcript , then wait for an answer ( it be too slow ) . I wish to have 1.25x speed of the answer as well . they also offer I a present simple lesson on an advanced level ( and this be confusing ) . 50 % of the conversation be question when I need to say yes - I wish to have a button for fast yes reply instead of record my audio yes every time ( it be 5 - 7 sec for unnecessary action )","['good', 'idea', 'ux', 'bit', 'outdated', 'need', 'press', 'button', 'record', 'audio', 'wait', 'transcript', 'wait', 'answer', 'slow', 'wish', '1.25x', 'speed', 'answer', 'offer', 'present', 'simple', 'lesson', 'advanced', 'level', 'confusing', '50', 'conversation', 'question', 'need', 'yes', 'wish', 'button', 'fast', 'yes', 'reply', 'instead', 'record', 'audio', 'yes', 'time', '5', '7', 'sec', 'unnecessary', 'action']",good idea ux bit outdated need press button record audio wait transcript wait answer slow wish 1.25x speed answer offer present simple lesson advanced level confusing 50 conversation question need yes wish button fast yes reply instead record audio yes time 5 7 sec unnecessary action
3,"this app is very useful for everyone because this app teach us english speaking and many thing which is important for our life and and i will suggest everyone to use this app but this app charge so i want that please erase this charge criteria and make this app free for everyone with the help of this who is poor, could easily learn english. please solve this problem immediately.. thanks","this app be very useful for everyone because this app teach we english speak and many thing which be important for our life and and I will suggest everyone to use this app but this app charge so I want that please erase this charge criterion and make this app free for everyone with the help of this who be poor , could easily learn english . please solve this problem immediately .. thank","['app', 'useful', 'app', 'teach', 'english', 'speak', 'thing', 'important', 'life', 'suggest', 'use', 'app', 'app', 'charge', 'want', 'erase', 'charge', 'criterion', 'app', 'free', 'help', 'poor', 'easily', 'learn', 'english', 'solve', 'problem', 'immediately', 'thank']",app useful app teach english speak thing important life suggest use app app charge want erase charge criterion app free help poor easily learn english solve problem immediately thank
4,"super great teacher is this beb.. fantastic fabulous great app ai is this...but just the price is bit high actually..not everyone efforts to pay that amount.,in same time they actually really need it this app to learn it..i hope next version,can b use for free also or make it in cheapest plan also...if u all did like that.that mean u all will help alot people outside there's to learn english with perfectly..not everyone can effort it like that price. tq.other all perfect good (7star)","super great teacher be this beb .. fantastic fabulous great app ai be this ... but just the price be bit high actually .. not everyone effort to pay that amount . ,in same time they actually really need it this app to learn it .. I hope next version , can b use for free also or make it in cheap plan also ... if you all do like that.that mean you all will help alot people outside there be to learn english with perfectly .. not everyone can effort it like that price . tq.other all perfect good ( 7star )","['super', 'great', 'teacher', 'beb', 'fantastic', 'fabulous', 'great', 'app', 'ai', 'price', 'bit', 'high', 'actually', 'effort', 'pay', 'time', 'actually', 'need', 'app', 'learn', 'hope', 'version', 'b', 'use', 'free', 'cheap', 'plan', 'like', 'that.that', 'mean', 'help', 'alot', 'people', 'outside', 'learn', 'english', 'perfectly', 'effort', 'like', 'price', 'tq.other', 'perfect', 'good', '7star']",super great teacher beb fantastic fabulous great app ai price bit high actually effort pay time actually need app learn hope version b use free cheap plan like that.that mean help alot people outside learn english perfectly effort like price tq.other perfect good 7star
5,"it is a very good program. it can be great for everyone. a bettor that you should have time for. in places where you could not understand that word, it translates it into persian. it is a very great program. thanks to the creator of this program.","it be a very good program . it can be great for everyone . a bettor that you should have time for . in place where you could not understand that word , it translate it into persian . it be a very great program . thank to the creator of this program .","['good', 'program', 'great', 'bettor', 'time', 'place', 'understand', 'word', 'translate', 'persian', 'great', 'program', 'thank', 'creator', 'program']",good program great bettor time place understand word translate persian great program thank creator program
6,"the app is great and worked well, but my annual subscription was reset and i havent been able to restore it. ive tried reaching out to support, but havent received any response so far. its disappointing, especially since i really like the app but without help, i cant give it more than one star right now.","the app be great and work well , but my annual subscription be reset and I have not be able to restore it . I have try reach out to support , but have not receive any response so far . its disappointing , especially since I really like the app but without help , I can not give it more than one star right now .","['app', 'great', 'work', 'annual', 'subscription', 'reset', 'able', 'restore', 'try', 'reach', 'support', 'receive', 'response', 'far', 'disappointing', 'especially', 'like', 'app', 'help', 'star', 'right']",app great work annual subscription reset able restore try reach support receive response far disappointing especially like app help star right
7,"i just want to take a moment to express my deep appreciation for this incredible al-powered english learning app! this app is truly a game-changer for anyone who wants to improve their english skills, especially beginners. from the moment i started using it, i noticed how easy it is to navigate and how well-structured the lessons are.","I just want to take a moment to express my deep appreciation for this incredible al - power english learning app ! this app be truly a game - changer for anyone who want to improve their english skill , especially beginner . from the moment I start use it , I notice how easy it be to navigate and how well - structure the lesson be .","['want', 'moment', 'express', 'deep', 'appreciation', 'incredible', 'al', 'power', 'english', 'learning', 'app', 'app', 'truly', 'game', 'changer', 'want', 'improve', 'english', 'skill', 'especially', 'beginner', 'moment', 'start', 'use', 'notice', 'easy', 'navigate', 'structure', 'lesson']",want moment express deep appreciation incredible al power english learning app app truly game changer want improve english skill especially beginner moment start use notice easy navigate structure lesson
8,"this app was absolutely amazing. it will help you gain confidents by just making a conversation daily. this app will make your english speaking, vocabulary and pronounciaton unlock into another level of understanding. learna ai can be use as it always has the learning strategy in your hands as a knowledge. the ability to not just speak fluently but also sthrengtened your deepest gramatical words thet you may find dificuld to express and discus. this provides practoces which enables you to gain","this app be absolutely amazing . it will help you gain confident by just make a conversation daily . this app will make your english speaking , vocabulary and pronounciaton unlock into another level of understanding . learna ai can be use as it always have the learn strategy in your hand as a knowledge . the ability to not just speak fluently but also sthrengtene your deep gramatical word thet you may find dificuld to express and discus . this provide practoce which enable you to gain","['app', 'absolutely', 'amazing', 'help', 'gain', 'confident', 'conversation', 'daily', 'app', 'english', 'speaking', 'vocabulary', 'pronounciaton', 'unlock', 'level', 'understanding', 'learna', 'ai', 'use', 'learn', 'strategy', 'hand', 'knowledge', 'ability', 'speak', 'fluently', 'sthrengtene', 'deep', 'gramatical', 'word', 'thet', 'find', 'dificuld', 'express', 'discus', 'provide', 'practoce', 'enable', 'gain']",app absolutely amazing help gain confident conversation daily app english speaking vocabulary pronounciaton unlock level understanding learna ai use learn strategy hand knowledge ability speak fluently sthrengtene deep gramatical word thet find dificuld express discus provide practoce enable gain
9,"it is so irritating, especially when paid/purchase screen has become while learning phase . secondly, while speaking, i speak at a low pace, but it always gives me pop-up to speak slowly and clearly. even the basic version needs to be work more regarding improvement.","it be so irritate , especially when pay / purchase screen have become while learn phase . secondly , while speak , I speak at a low pace , but it always give I pop - up to speak slowly and clearly . even the basic version need to be work more regard improvement .","['irritate', 'especially', 'pay', 'purchase', 'screen', 'learn', 'phase', 'secondly', 'speak', 'speak', 'low', 'pace', 'pop', 'speak', 'slowly', 'clearly', 'basic', 'version', 'need', 'work', 'regard', 'improvement']",irritate especially pay purchase screen learn phase secondly speak speak low pace pop speak slowly clearly basic version need work regard improvement
